"Subject" "Activity" "Variable" "MeanValue"
1 "LAYING" "TimeBodyAccelerationMeanX" 0.22159824394
1 "LAYING" "TimeBodyAccelerationMeanY" -0.0405139534294
1 "LAYING" "TimeBodyAccelerationMeanZ" -0.11320355358
1 "LAYING" "TimeBodyAccelerationStdDeviationX" -0.9280564692
1 "LAYING" "TimeBodyAccelerationStdDeviationY" -0.83682740562
1 "LAYING" "TimeBodyAccelerationStdDeviationZ" -0.826061401628
1 "LAYING" "TimeGravityAccelerationMeanX" -0.24888179828
1 "LAYING" "TimeGravityAccelerationMeanY" 0.70554977346
1 "LAYING" "TimeGravityAccelerationMeanZ" 0.4458177198
1 "LAYING" "TimeGravityAccelerationStdDeviationX" -0.8968300184
1 "LAYING" "TimeGravityAccelerationStdDeviationY" -0.90772000676
1 "LAYING" "TimeGravityAccelerationStdDeviationZ" -0.85236629022
1 "LAYING" "TimeBodyAccelerationJerkMeanX" 0.0810865342
1 "LAYING" "TimeBodyAccelerationJerkMeanY" 0.0038382040088
1 "LAYING" "TimeBodyAccelerationJerkMeanZ" 0.010834236361
1 "LAYING" "TimeBodyAccelerationJerkStdDeviationX" -0.958482112
1 "LAYING" "TimeBodyAccelerationJerkStdDeviationY" -0.9241492736
1 "LAYING" "TimeBodyAccelerationJerkStdDeviationZ" -0.9548551108
1 "LAYING" "TimeBodyGyroscopeMeanX" -0.016553093978
1 "LAYING" "TimeBodyGyroscopeMeanY" -0.064486124088
1 "LAYING" "TimeBodyGyroscopeMeanZ" 0.14868943626
1 "LAYING" "TimeBodyGyroscopeStdDeviationX" -0.87354386782
1 "LAYING" "TimeBodyGyroscopeStdDeviationY" -0.9510904402
1 "LAYING" "TimeBodyGyroscopeStdDeviationZ" -0.9082846626
1 "LAYING" "TimeBodyGyroscopeJerkMeanX" -0.107270949192
1 "LAYING" "TimeBodyGyroscopeJerkMeanY" -0.04151728689
1 "LAYING" "TimeBodyGyroscopeJerkMeanZ" -0.0740501211
1 "LAYING" "TimeBodyGyroscopeJerkStdDeviationX" -0.9186085208
1 "LAYING" "TimeBodyGyroscopeJerkStdDeviationY" -0.9679072436
1 "LAYING" "TimeBodyGyroscopeJerkStdDeviationZ" -0.9577901596
1 "LAYING" "TimeBodyAccelerationMagnitudeMean" -0.8419291525
1 "LAYING" "TimeBodyAccelerationMagnitudeStdDeviation" -0.79514486386
1 "LAYING" "TimeGravityAccelerationMagnitudeMean" -0.8419291525
1 "LAYING" "TimeGravityAccelerationMagnitudeStdDeviation" -0.79514486386
1 "LAYING" "TimeBodyAccelerationJerkMagnitudeMean" -0.9543962646
1 "LAYING" "TimeBodyAccelerationJerkMagnitudeStdDeviation" -0.9282456284
1 "LAYING" "TimeBodyGyroscopeMagnitudeMean" -0.874759548
1 "LAYING" "TimeBodyGyroscopeMagnitudeStdDeviation" -0.81901016976
1 "LAYING" "TimeBodyGyroscopeJerkMagnitudeMean" -0.96346103
1 "LAYING" "TimeBodyGyroscopeJerkMagnitudeStdDeviation" -0.9358409828
1 "LAYING" "FrequencyBodyAccelerationMeanX" -0.9390990524
1 "LAYING" "FrequencyBodyAccelerationMeanY" -0.86706520518
1 "LAYING" "FrequencyBodyAccelerationMeanZ" -0.8826668762
1 "LAYING" "FrequencyBodyAccelerationStdDeviationX" -0.9244374346
1 "LAYING" "FrequencyBodyAccelerationStdDeviationY" -0.8336255561
1 "LAYING" "FrequencyBodyAccelerationStdDeviationZ" -0.81289155944
1 "LAYING" "FrequencyBodyAccelerationJerkMeanX" -0.9570738838
1 "LAYING" "FrequencyBodyAccelerationJerkMeanY" -0.9224626098
1 "LAYING" "FrequencyBodyAccelerationJerkMeanZ" -0.9480609042
1 "LAYING" "FrequencyBodyAccelerationJerkStdDeviationX" -0.9641607086
1 "LAYING" "FrequencyBodyAccelerationJerkStdDeviationY" -0.9322178704
1 "LAYING" "FrequencyBodyAccelerationJerkStdDeviationZ" -0.9605869872
1 "LAYING" "FrequencyBodyGyroscopeMeanX" -0.850249174586
1 "LAYING" "FrequencyBodyGyroscopeMeanY" -0.9521914948
1 "LAYING" "FrequencyBodyGyroscopeMeanZ" -0.909302721
1 "LAYING" "FrequencyBodyGyroscopeStdDeviationX" -0.8822964508
1 "LAYING" "FrequencyBodyGyroscopeStdDeviationY" -0.9512320494
1 "LAYING" "FrequencyBodyGyroscopeStdDeviationZ" -0.9165825082
1 "LAYING" "FrequencyBodyAccelerationMagnitudeMean" -0.8617676481
1 "LAYING" "FrequencyBodyAccelerationMagnitudeStdDeviation" -0.7983009404
1 "LAYING" "FrequencyBodyBodyAccelerationJerkMagnitudeMean" -0.9333003608
1 "LAYING" "FrequencyBodyBodyAccelerationJerkMagnitudeStdDeviation" -0.9218039756
1 "LAYING" "FrequencyBodyBodyGyroscopeMagnitudeMean" -0.8621901854
1 "LAYING" "FrequencyBodyBodyGyroscopeMagnitudeStdDeviation" -0.82431943968
1 "LAYING" "FrequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.9423669466
1 "LAYING" "FrequencyBodyBodyGyroscopeJerkMagnitudeStdDeviation" -0.9326606676
1 "SITTING" "TimeBodyAccelerationMeanX" 0.261237565425532
1 "SITTING" "TimeBodyAccelerationMeanY" -0.00130828765170213
1 "SITTING" "TimeBodyAccelerationMeanZ" -0.104544182255319
1 "SITTING" "TimeBodyAccelerationStdDeviationX" -0.977229008297872
1 "SITTING" "TimeBodyAccelerationStdDeviationY" -0.922618641914894
1 "SITTING" "TimeBodyAccelerationStdDeviationZ" -0.93958629106383
1 "SITTING" "TimeGravityAccelerationMeanX" 0.831509933404255
1 "SITTING" "TimeGravityAccelerationMeanY" 0.204411592680851
1 "SITTING" "TimeGravityAccelerationMeanZ" 0.332043702765957
1 "SITTING" "TimeGravityAccelerationStdDeviationX" -0.968457145744681
1 "SITTING" "TimeGravityAccelerationStdDeviationY" -0.935517055957447
1 "SITTING" "TimeGravityAccelerationStdDeviationZ" -0.949040933191489
1 "SITTING" "TimeBodyAccelerationJerkMeanX" 0.0774825199574468
1 "SITTING" "TimeBodyAccelerationJerkMeanY" -0.000619102785106384
1 "SITTING" "TimeBodyAccelerationJerkMeanZ" -0.00336779235021277
1 "SITTING" "TimeBodyAccelerationJerkStdDeviationX" -0.986430711276596
1 "SITTING" "TimeBodyAccelerationJerkStdDeviationY" -0.981371965319149
1 "SITTING" "TimeBodyAccelerationJerkStdDeviationZ" -0.987910804468085
1 "SITTING" "TimeBodyGyroscopeMeanX" -0.045350056512766
1 "SITTING" "TimeBodyGyroscopeMeanY" -0.0919241549361702
